vand,litter,longitude,latitude
,,-75.68496487,45.3990971
,,-75.68613185,45.39945279
,,-75.68625419,45.39935236
,4,-75.6848485,45.3992055
,,-75.68549704,45.39934006
,,-75.68622499,45.39911921
4,,-75.68586922,45.39944435
,,-75.685485,45.399294
,4,-75.685894,45.3994701
4,,-75.68592109,45.39939864
,,-75.68585674,45.39969703
,,-75.68606797,45.39952191
,,-75.68565578,45.39956356
,,-75.6858149,45.399905
,,-75.68607551,45.39950376
,,-75.6855184,45.39964106
,,-75.68561574,45.39959413
,,-75.68237966,45.39962719
4,,-75.68571464,45.39960785
,,-75.68574057,45.39966012
,,-75.68580531,45.3987385
,4,-75.6855739,45.3996189
,,-75.68598998,45.3993471
,,-75.685485,45.399294
4,3,-75.68234008,45.39933537
,,-75.68484974,45.39900302
,4,-75.6856098,45.3993908
,,-75.6852277,45.3998167
,3,-75.68503669,45.39914389
4,,-75.68515097,45.39982319
,,-75.68510765,45.39987948
,,-75.68570327,45.3994541
,,-75.68608501,45.39946985
4,,-75.68489261,45.39985753
,4,-75.6854216,45.3995292
,,-75.68270503,45.39954344
,,-75.68554083,45.39975489
,,-75.68476209,45.39981327
,,-75.68714873,45.40104439
,,-75.6848155,45.3999518
4,,-75.68509217,45.3992538
,,-75.68573379,45.39958372
,,-75.68535441,45.39969641
,,-75.68749647,45.40156795
,,-75.685485,45.399294
,,-75.6847127,45.3997665
4,,-75.68459744,45.39993484
,,-75.68704561,45.40073803
,,-75.6851941,45.3978694
,,-75.6828551,45.3992291
,,-75.6840382,45.3998534
,,-75.68586963,45.3995553
,0,-75.6852141,45.3996979
,,-75.68315675,45.3997154
,,-75.68504322,45.39983201
4,,-75.68457694,45.39999504
,,-75.68523736,45.39972366
,,-75.68438771,45.40002007
,,-75.68479749,45.39984099
,,-75.68068081,45.39891803
4,4,-75.68282804,45.39877252
,,-75.68610983,45.39938252
,,-75.68449478,45.39934569
4,,-75.68458709,45.39998822
,,-75.6796243,45.3979209
,,-75.68450736,45.39998714
,,-75.68578656,45.39885696
,,-75.685212,45.400013
,0,-75.68557786,45.39883958
,,-75.68439516,45.39894949
,,-75.685485,45.399294
,,-75.68220424,45.39874983
,,-75.6840749,45.4001159
,4,-75.6850445,45.3997115
,,-75.68379236,45.40042036
,,-75.68388974,45.40010075
,,-75.68327214,45.40149973
,,-75.68573375,45.39956858
4,,-75.68371286,45.40021977
,,-75.68517646,45.39968338
,,-75.68514616,45.39980276
4,,-75.68337955,45.40031548
,4,-75.6836138,45.3997994
,,-75.68006131,45.39979913
,,-75.68352295,45.40024106
,,-75.6842269,45.3996538
,,-75.68822696,45.40315501
,,-75.67992822,45.39987131
,,-75.68421071,45.40008528
,,-75.68795817,45.40251257
2,,-75.68592689,45.39897974
,3,-75.684698,45.3998667
,,-75.6830748,45.4004479
4,,-75.68344306,45.40028264
,,-75.68418909,45.40019666
,,-75.6835228,45.40026655
,,-75.68336544,45.40033853
,,-75.6780816,45.4005321
,,-75.68485444,45.3999348
,,-75.67975324,45.40002445
,,-75.6850784,45.39899544
,,-75.6851941,45.3978694
4,,-75.68484985,45.39944534
4,,-75.68332923,45.40032289
,,-75.684409,45.399757
,,-75.68523316,45.39904569
,,-75.685485,45.399294
,,-75.68507748,45.3998149
,,-75.6830331,45.4005281
,,-75.6833814,45.40072861
,3,-75.68465257,45.3994944
,,-75.68355528,45.40011895
,,-75.68461947,45.40002635
,4,-75.6843779,45.4000221
,,-75.68473223,45.39998241
,,-75.68441808,45.39948131
,,-75.68651711,45.39976627
,,-75.68418563,45.40009964
,,-75.6846017,45.3988245
,,-75.6783432,45.4016608
,,-75.67955396,45.40077915
,,-75.68447114,45.40001867
,,-75.68381162,45.40034716
,,-75.6848356,45.399434
,,100.47396,13.79162005
,,-75.68745482,45.40148929
,,-75.684089,45.400485
,,-75.68879435,45.40338804
,,-75.68401096,45.4001816
,,-75.70777173,45.37671213
,,-75.684593,45.399135
,,-75.68480267,45.3996011
,,-75.68381541,45.40023009
,,-75.6860014,45.3989872
,,-75.6849731,45.3990165
,,-75.68499931,45.39930391
,,-75.68520709,45.39997644
,,-75.6858507,45.3983931
,,-75.6856984,45.3988238
,,-75.68469976,45.399926
,,-75.68615467,45.39932251
,,-75.67999869,45.39972175
4,3,-75.6838183,45.3989052
,3,-75.6889024,45.4168112
,,-75.6897876,45.41727029
,,-75.68976514,45.4171309
,,-75.68997739,45.41738577
,,-75.6809709,45.4022448
,,-75.6820282,45.400017
,,-75.6900061,45.4172591
2,,-75.68984009,45.41728294
,,-75.689939,45.417043
,,-75.6897981,45.41712066
,,-75.68989514,45.41726258
,,-75.68737456,45.41766727
,,-75.68962782,45.41705841
,,-75.69011665,45.4175269
,,-75.689958,45.417557
,2,-75.6896055,45.4170477
3,,-75.69011449,45.41764679
,,-75.68999764,45.41743509
,,-75.6893826,45.416905
,,-75.68657874,45.41529579
,,-75.69000014,45.41743525
,,-75.68995211,45.41759699
,,-75.6908569,45.4176516
,3,-75.68701026,45.41355937
,,-75.6901345,45.41788684
,,-75.6898485,45.41728333
,,-75.68987193,45.41739585
3,,-75.69039024,45.41804497
,,-75.69087399,45.41821231
,,-75.69054206,45.41805924
,,-75.690308,45.417617
,3,-75.6898825,45.4172032
,,-75.69020236,45.41761246
,,-75.6902163,45.41778848
,,-75.69044,45.4178064
,,-75.686779,45.4137983
,,-75.6887961,45.4160652
,,-75.68987252,45.41737817
,,-75.68983235,45.41729423
,,-75.69001321,45.41746198
,,-75.68977937,45.41712993
,,-75.68739944,45.41442999
,,-75.69064387,45.41819682
,3,-75.6900364,45.4173471
4,,-75.69075739,45.4183096
,2,-75.6869686,45.41382424
,,-75.69090308,45.41844778
,4,-75.68971511,45.41751849
,,-75.68779272,45.41527702
,,-75.68706558,45.4139203
,,-75.68714512,45.41407603
,,-75.690294,45.418097
,,-75.68758212,45.41474054
,,-75.69090005,45.41860377
0,,-75.68696921,45.41381336
,,-75.6910971,45.4180258
,,-75.68809737,45.41513277
2,,-75.69051415,45.4183073
,,-75.69044362,45.41787066
,4,-75.68739197,45.41431823
,,-75.69109922,45.41866564
,,-75.690569,45.418281
,,-75.6904909,45.41835798
,,-75.6871281,45.4141369
,,-75.690403,45.4177
,,-75.69141804,45.41909271
,,-75.68758921,45.41470781
,,-75.68901959,45.41646855
,,-75.68724484,45.41413216
,3,-75.68971511,45.41751849
4,,-75.69116424,45.41867741
,,-75.6835407,45.39995022
,,-75.6877366,45.41465
,,-75.68977756,45.4172913
,,-75.69001589,45.41746923
,,-75.6899177,45.4171914
,,-75.68788069,45.41509189
,,-75.69114011,45.41886964
,,-75.69073209,45.41811772
,,-75.68823635,45.41545065
,,-75.69036878,45.41771403
,,-75.6874858,45.41441077
,,-75.69101188,45.41854537
3,,-75.68724678,45.41418354
,,-75.69169805,45.4192357
,4,-75.6903494,45.4178823
,0,-75.68772515,45.41455229
,,-75.68833184,45.41664238
,,-75.69143815,45.41914162
,,-75.6908476,45.41835591
,,-75.690993,45.41825
,,-75.69181686,45.41967431
,,-75.69078974,45.41833102
3,,-75.69196531,45.41949627
,,-75.68775886,45.41478365
0,,-75.68747957,45.41460257
,4,-75.6904256,45.4180104
,,-75.69112106,45.41861042
3,,-75.69182895,45.41975993
,,-75.68871086,45.41591912
,,-75.6875865,45.4146843
,,-75.68818156,45.41586523
,,-75.69154962,45.4187652
,,-75.6922975,45.4197597
,,-75.68805699,45.41530889
,,-75.6889958,45.4164755
,,-75.69084874,45.41846022
,,-75.69110088,45.41861286
,,-75.68919446,45.41664287
,,-75.69113479,45.41865151
,,-75.68823447,45.41541237
2,2,-75.68888343,45.41634842
,,-75.69245665,45.41994135
,,-75.6884273,45.4157928
,,-75.691204,45.419064
,,-75.688005,45.4149398
,,-75.69198014,45.41967468
,4,-75.6904876,45.4181049
,,-75.69088497,45.41837062
,,-75.69155659,45.41947237
,,-75.69119667,45.41878036
,4,-75.6929573,45.4204157
,,-75.69115298,45.41886274
3,,-75.69284656,45.42054151
,,-75.68863071,45.41579986
,,-75.69243026,45.42016778
0,,-75.68853469,45.41566551
,,-75.69068348,45.41827238
,,-75.68920084,45.41650141
,,-75.6880564,45.4153291
3,,-75.69287593,45.42062315
,,-75.68855435,45.41576795
,,-75.69154507,45.41956289
,,-75.69146299,45.41921372
,2,-75.68864389,45.41566688
,,-75.69083059,45.4187056
,,-75.69140446,45.41902378
,,-75.69180881,45.41947597
,4,-75.6930508,45.4212206
,,-75.68837311,45.41543615
,,-75.68838728,45.4155406
,,-75.69118028,45.41582092
,,-75.691352,45.4158774
,,-75.6892192,45.4166865
,,-75.6926442,45.42038267
,,-75.68908126,45.41646064
,,-75.6888315,45.4160066
,,-75.69308926,45.42104522
,,-75.6876492,45.41456055
,,-75.69008699,45.4174835
,,-75.69141602,45.41905811
,,-75.69016009,45.41763279
,,-75.6931683,45.4207158
,,-75.6923985,45.4268359
,,-75.6921252,45.4271047
4,,-75.69531088,45.42811153
,,-75.69532922,45.42815344
,,-75.695089,45.428096
,4,-75.6951585,45.4281173
,,-75.69523811,45.42822252
,,-75.70146149,45.41318507
,,-75.69539647,45.42798635
,,-75.69522078,45.42816141
0,,-75.69482803,45.42837139
1,,-75.69204082,45.42760752
,,-75.68982132,45.42717538
,,-75.6946731,45.4283539
,,-75.69499966,45.42834029
,3,-75.69239318,45.42720186
,,-75.69383102,45.42626657
,,-75.694378,45.428238
,4,-75.6953279,45.4280842
,,-75.69485926,45.42725452
,,-75.69406791,45.42887548
,,-75.69449595,45.42841073
,,-75.6919074,45.4273186
,,-75.69274727,45.42811291
0,,-75.6947106,45.4284627
,,-75.69523446,45.428113
,,-75.69534506,45.42808166
,,-75.694396,45.428653
,,-75.69472796,45.42833014
,,-75.69542322,45.4281672
,4,-75.6945142,45.4282966
,,-75.69502512,45.42807899
,,-75.694444,45.42862
,,-75.69435247,45.42862136
,,-75.69506889,45.42826187
,,-75.69380651,45.42857136
3,,-75.69457057,45.42841054
,,-75.6926678,45.4273578
,4,-75.6944406,45.4283456
,,-75.69262278,45.42812238
,,-75.6938801,45.4262418
,,-75.69190474,45.42958545
,,-75.69419718,45.42850909
,,-75.6948711,45.4284309
3,,-75.6935884,45.4288994
,,-75.693812,45.428596
,,-75.6949924,45.4275351
,,-75.69358005,45.42863882
,,-75.70777173,45.37671213
,,-75.694583,45.427704
,,-75.6950455,45.42824933
,1,-75.70777173,45.37671213
,,-75.694681,45.4276486
4,,-75.69299896,45.42909527
,,-75.69304102,45.42908331
,,-75.69431242,45.42848439
,,-75.6916049,45.43092091
,,-75.6934648,45.42855478
,,-75.69264239,45.42814476
,,-75.69219358,45.42704299
4,3,-75.69142176,45.42739276
,,-75.69183187,45.42957647
,,-75.69345307,45.42844053
,,-75.6910922,45.42874043
,,-75.69034644,45.42775406
,,-75.69114341,45.4279137
,3,-75.6940321,45.4284423
,,-75.69527623,45.42890194
,,-75.6921859,45.4269618
,,-75.69214611,45.4294945
,,-75.69365306,45.42868656
,,-75.691768,45.42963067
,,-75.6899699,45.4274655
,,-75.69327,45.429203
,,-75.69405245,45.42785807
1,,-75.69237468,45.42937749
,,-75.6926905,45.42810224
,,-75.6925369,45.4285189
,3,-75.6939506,45.4284405
,,-75.69409885,45.42751088
,,-75.69327322,45.42816729
,4,-75.69334034,45.42812933
,,-75.692737,45.4282513
1,,-75.692165,45.429576
3,3,-75.69201876,45.4272214
,,-75.70777173,45.37671213
,,-75.69436684,45.42842709
,,-75.69301161,45.42806702
,,-75.69431975,45.42843863
3,,-75.69336042,45.42815716
,,-75.692936,45.429352
,,-75.69301361,45.42909797
,,-75.69305243,45.4290916
,,-75.6935867,45.42868225
,,-75.6944276,45.428548
4,3,-75.692582,45.427138
,,-75.69361211,45.42885188
,,-75.693878,45.428038
,,-75.6910181,45.42884579
,,-75.692411,45.429208
,,-75.69226823,45.42767069
,,-75.68906959,45.42644353
,,-75.69180949,45.42967178
,,-75.69220855,45.4283234
,,-75.69297033,45.42907781
,,-75.69274151,45.4287771
,,-75.6938421,45.42878665
,,-75.6939274,45.4279965
,,-75.69275741,45.42771661
,,-75.69262989,45.42759041
,,-75.69487193,45.42433485
,,-75.6933885,45.4281619
,,-75.69049377,45.42791822
,,-75.69405959,45.42864118
,,-75.6930399,45.4279341
,3,-75.69200162,45.4272006
0,,-75.69216362,45.42778123
,,-75.69162101,45.42708497
,,-75.69079589,45.42772702
,,-75.69170731,45.42741692
,,-75.6924659,45.427294
,,-75.69127052,45.42658124
,,-75.68087067,45.39901306
4,3,-75.68181058,45.40073499
,,-75.687939,45.416862
2,2,-75.68868365,45.41519014
,,-75.687939,45.416862
,,-75.691521,45.42851877
4,2,-75.68877886,45.41591398
,,-75.692049,45.42737
,,-75.69108116,45.42654176
,,-2.746551541,51.12386771
,,-75.68595844,45.39934859
,,-75.68563859,45.39944785
,,-75.68550569,45.39954396
,,-75.68509971,45.39979407
,,-75.68448107,45.39994225
,,-75.68362806,45.40010625
,,-75.68242241,45.40059971
,,-75.68975913,45.41730373
,,-75.69009975,45.41773051
,,-75.6904544,45.41799508
,,-75.69089045,45.41839257
,,-75.69131448,45.41891005
,,-75.692341,45.427473
,,-75.68597706,45.39948261
,,-75.68556336,45.39968055
,,-75.68538195,45.39973718
,,-75.68479447,45.39994539
,,-75.68434807,45.40016023
,,-75.68363708,45.40046189
,,-75.685945,45.39982
,,-75.69002363,45.41750014
,,-75.69032667,45.41792953
,,-75.69061448,45.41825143
,,-75.69098654,45.4186858
,,-75.69136032,45.4191584
,,-75.6916186,45.41965174
,,-75.684593,45.399135
,,-75.68436706,45.3992149
,,-75.684593,45.399135
,,-75.69202025,45.4199925
,,-75.69240466,45.42026225
,,-75.6926046,45.42066454
,,-75.69525738,45.4280656
,,-75.69511877,45.42823944
,,-75.69490215,45.42838919
,,-75.69456063,45.42847141
,,-75.69424701,45.42870191
,,-75.69386933,45.42886283
,,-75.69346364,45.42898075
,,-75.69291039,45.42917175
,,-75.69265185,45.42920597
,,-75.69243827,45.42938763
,,-75.69220988,45.42948353
,,-75.69289955,45.42898938
,,-75.6915519,45.41936232
,,-75.68337103,45.40026975
4,3,-75.68269932,45.39861921
4,3,-75.68199122,45.39806356
3,2,-75.68973244,45.41719457
4,4,-75.68954177,45.41694955
4,4,-75.68923698,45.41660741
3,3,-75.68908561,45.41641953
1,4,-75.68886323,45.41617315
3,3,-75.68855489,45.41583022
4,3,-75.69179274,45.42718919
4,3,-75.69097383,45.42766104
3,3,-75.69130578,45.42753145
2,3,-75.69156122,45.42733677
4,3,-75.6919456,45.42711951
4,3,-75.69256164,45.42688991
,,-75.69019014,45.41746352
,,-75.68881727,45.4156682
,,-75.69171958,45.4268515
,,-75.692439,45.42762821
,,-75.692439,45.42762821
,,-75.692341,45.427473
,,-75.67768167,45.28551833
,,-75.692439,45.42762821
,,-75.692341,45.427473
,,-75.692341,45.427473
,,-75.6838183,45.3989052
,,-75.6838183,45.3989052
,,-75.6838183,45.3989052
,,-75.687629,45.414351
,,-75.69244349,45.42043299
,,-75.689898,45.416015
,1,-75.699938,45.419925
,,-75.69244349,45.42043299
,,-75.69244349,45.42043299
,,-75.692906,45.427487
,,-75.692957,45.427567
,,-75.692971,45.427568
,,-75.690218,45.421512